,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
34169,amazon,other,Software Engineer,12.0,1.0,Distributed Systems (Back-End),Female,751.0,0,1,0,0,0,0,1,0,0,0
42350,other,other,Software Engineer,3.0,3.0,Full Stack,Male,527.0,1,0,0,0,0,1,0,0,0,0
37804,amazon,L7,Software Engineering Manager,10.0,5.0,ML / AI,Male,819.0,0,1,0,0,0,0,1,0,0,0
48938,google,L4,Software Engineer,6.0,0.0,API Development (Back-End),Male,0.0,1,0,0,0,0,1,0,0,0,0
30314,microsoft,other,other,10.0,6.0,other,Male,819.0,0,1,0,0,0,0,1,0,0,0
49205,google,L4,Software Engineer,2.0,2.0,Web Development (Front-End),Male,807.0,0,1,0,0,0,0,0,1,0,0
35985,other,other,other,12.0,5.0,other,Female,528.0,0,1,0,0,0,0,1,0,0,0
24790,apple,IC4,Data Scientist,7.0,1.0,other,Female,807.0,0,0,1,0,0,0,1,0,0,0
45411,other,L2,Software Engineer,3.0,3.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
60934,other,other,Software Engineer,6.0,2.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
36805,other,other,Software Engineer,20.0,5.0,Full Stack,Male,0.0,0,0,1,0,0,0,1,0,0,0
39767,other,other,Software Engineer,0.0,0.0,API Development (Back-End),Male,623.0,0,1,0,0,0,0,0,0,0,1
30588,other,other,Software Engineer,5.0,5.0,Distributed Systems (Back-End),Male,0.0,1,0,0,0,0,0,1,0,0,0
24084,other,other,Product Manager,10.0,3.0,Full Stack,Female,501.0,1,0,0,0,0,0,0,0,1,0
39571,other,other,Hardware Engineer,15.0,10.0,other,Male,613.0,0,0,1,0,0,0,1,0,0,0
30375,other,other,Data Scientist,3.0,1.0,ML / AI,Male,803.0,1,0,0,0,0,1,0,0,0,0
24735,amazon,L6,Product Manager,7.0,1.0,other,Male,819.0,1,0,0,0,0,0,0,0,0,1
39118,other,other,Data Scientist,1.0,1.0,ML / AI,Male,501.0,1,0,0,0,0,1,0,0,0,0
51229,other,other,Software Engineer,7.0,2.0,API Development (Back-End),Female,803.0,0,1,0,0,0,0,1,0,0,0
46189,other,L1,other,10.0,0.0,other,Male,807.0,1,0,0,0,0,0,1,0,0,0
27855,amazon,other,Software Engineer,10.0,4.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
53800,oracle,other,Software Engineer,0.0,0.0,DevOps,Male,506.0,0,1,0,0,0,0,1,0,0,0
47086,amazon,L6,Technical Program Manager,5.0,5.0,other,Male,803.0,1,0,0,0,0,1,0,0,0,0
28752,other,other,Software Engineer,20.0,14.0,Full Stack,Male,623.0,0,0,0,0,1,0,0,0,0,1
43946,salesforce,other,Software Engineer,4.0,0.0,Web Development (Front-End),Male,0.0,0,1,0,0,0,0,0,1,0,0
57829,other,other,Product Designer,6.0,6.0,other,Female,618.0,1,0,0,0,0,1,0,0,0,0
25923,other,L6,other,13.0,7.0,other,Male,533.0,0,0,1,0,0,0,1,0,0,0
24087,other,other,Software Engineer,3.0,0.0,Distributed Systems (Back-End),Male,819.0,1,0,0,0,0,1,0,0,0,0
46162,other,other,Software Engineer,7.0,2.0,Full Stack,Male,751.0,0,1,0,0,0,0,1,0,0,0
59791,other,other,Software Engineer,20.0,4.0,Distributed Systems (Back-End),Female,819.0,0,1,0,0,0,1,0,0,0,0
50263,other,Senior Software Engineer,Software Engineer,6.0,0.0,Full Stack,Male,0.0,1,0,0,0,0,1,0,0,0,0
35915,other,other,other,12.0,7.0,other,Female,819.0,0,1,0,0,0,0,1,0,0,0
59141,other,L4,other,5.0,0.0,other,Female,807.0,0,1,0,0,0,1,0,0,0,0
