,company,level,title,totalyearlycompensation,yearsofexperience,yearsatcompany,tag,gender,cityid,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
57306,other,other,Software Engineer,218000,7.0,0.0,API Development (Back-End),Male,7275,803.0,0,0,0,1,0,0,1,0,0,0
57307,apple,other,Software Engineer,160000,5.0,1.0,Full Stack,Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
57308,other,other,Management Consultant,215000,10.0,5.0,other,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
57310,other,other,Software Engineer,255000,4.0,4.0,other,Male,7434,807.0,0,1,0,0,0,1,0,0,0,0
57311,oracle,other,Software Engineer,25000,6.0,4.0,API Development (Back-End),Male,1211,0.0,0,1,0,0,0,0,0,0,0,1
57312,amazon,L6,Software Engineer,223000,15.0,2.0,other,Male,12008,0.0,1,0,0,0,0,0,0,1,0,0
57313,other,other,Data Scientist,168000,2.0,2.0,other,Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
57315,other,other,Management Consultant,151000,4.0,4.0,other,Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57318,other,other,Software Engineering Manager,175000,15.0,15.0,Full Stack,Male,10646,504.0,1,0,0,0,0,1,0,0,0,0
57319,amazon,L7,Product Manager,665000,18.0,8.0,other,Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57320,other,other,Software Engineer,180000,3.0,3.0,Distributed Systems (Back-End),Male,7472,807.0,1,0,0,0,0,1,0,0,0,0
57321,other,other,Data Scientist,161000,1.0,1.0,other,Male,10182,501.0,1,0,0,0,0,1,0,0,0,0
57322,amazon,L5,Software Engineer,297000,7.0,0.0,other,Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57323,other,other,Business Analyst,123000,5.0,2.0,other,Female,7667,504.0,1,0,0,0,0,1,0,0,0,0
57327,other,other,Software Engineer,56000,16.0,0.0,Web Development (Front-End),Male,1253,0.0,1,0,0,0,0,0,1,0,0,0
57328,microsoft,other,Software Engineer,168000,0.0,0.0,Full Stack,Male,11521,819.0,1,0,0,0,0,1,0,0,0,0
57331,intel,other,Data Scientist,183000,0.0,0.0,other,Male,10522,820.0,0,0,1,0,0,1,0,0,0,0
57332,other,L3,Software Engineer,43000,11.0,11.0,other,Male,4848,0.0,1,0,0,0,0,0,1,0,0,0
57334,other,L3,Hardware Engineer,135000,2.0,2.0,other,Male,7434,807.0,1,0,0,0,0,1,0,0,0,0
57335,other,L5,Software Engineer,230000,10.0,3.0,ML / AI,Male,1320,0.0,1,0,0,0,0,1,0,0,0,0
57336,other,other,Software Engineer,184000,4.0,0.0,Distributed Systems (Back-End),Male,1320,0.0,1,0,0,0,0,1,0,0,0,0
57340,microsoft,other,other,120000,8.0,2.0,other,Female,17912,0.0,1,0,0,0,0,1,0,0,0,0
57342,other,other,Software Engineer,59000,4.0,2.0,Full Stack,Male,3651,0.0,0,1,0,0,0,0,1,0,0,0
57344,other,other,Software Engineer,25000,0.0,0.0,Full Stack,Male,6457,0.0,0,1,0,0,0,1,0,0,0,0
57348,other,L1,Software Engineer,104000,2.0,0.0,Full Stack,Male,7776,534.0,0,1,0,0,0,0,1,0,0,0
57351,other,L3,Software Engineer,82000,7.0,4.0,Distributed Systems (Back-End),Male,5180,0.0,0,1,0,0,0,1,0,0,0,0
57353,facebook,other,Software Engineer,445000,12.0,1.0,Distributed Systems (Back-End),Male,15900,0.0,0,1,0,0,0,0,1,0,0,0
57354,microsoft,other,Product Manager,300000,11.0,2.0,Product,Male,11521,819.0,1,0,0,0,0,1,0,0,0,0
57355,microsoft,other,Software Engineer,102000,8.0,0.0,Distributed Systems (Back-End),Male,4058,0.0,0,1,0,0,0,1,0,0,0,0
57357,other,L5,Software Engineer,115000,2.0,2.0,other,Male,5906,0.0,0,1,0,0,0,0,1,0,0,0
57360,other,other,Software Engineer,160000,3.0,0.0,other,Male,1206,0.0,1,0,0,0,0,1,0,0,0,0
